Source Type,Source,URL / Location,Governs,Weight / Trust Rule,Roster Use
Provider specs,OpenAI model docs,developers.openai.com/api/docs/models,"OpenAI IDs, context, max output, pricing, modalities, tool support",5 - authoritative for OpenAI attributes,OpenAI rows and image/audio/current status
Provider specs,Anthropic models overview,platform.claude.com/docs/.../models/overview,"Claude current model IDs, context, pricing, max output, cloud surfaces",5 - authoritative for Claude attributes,Claude rows and Bedrock/Vertex/Foundry availability
Provider specs,Google Gemini model cards,ai.google.dev/gemini-api/docs/models,"Gemini text/image/video/audio/embedding IDs, limits, status, last update",5 - authoritative for Gemini attributes,Gemini/Gemini image/Veo/Lyria/audio/embedding rows
Provider specs,Google Gemma 4 model card,ai.google.dev/gemma/docs/core/model_card_4,"Gemma 4 12B/E2B/E4B/26B/31B parameters, context, modalities, official benchmark table",5 - authoritative for Gemma family attributes,Gemma 4 local rows and rating anchors
Provider specs,Ollama Gemma 4 tags,ollama.com/library/gemma4/tags,"Ollama tag names, QAT availability, local artifact size, context, supported Ollama input modalities",5 - authoritative for Ollama local tag facts,Gemma 4 local tag IDs and install targets
Provider specs,xAI model docs,docs.x.ai/developers/models,Grok chat/coding/image/video/voice model families and alias rules,5 - authoritative for xAI attributes,Grok rows and status
Provider specs,DeepSeek API docs/changelog,api-docs.deepseek.com,DeepSeek V4 Pro/Flash IDs and legacy alias retirement,5 - authoritative for DeepSeek attributes,DeepSeek rows and alias notes
Provider specs,Mistral model overview,docs.mistral.ai/models/overview,Mistral Medium/Small/Devstral/OCR/Voxtral/Codestral/Moderation models,5 - authoritative for Mistral attributes,Mistral rows across LLM/audio/OCR/moderation
Provider specs,Cohere model overview,docs.cohere.com/v2/docs/models,"Command A+, Command A Vision, Embed, Rerank, Transcribe families",5 - authoritative for Cohere attributes,Cohere LLM/embed/rerank/vision rows
Provider specs,Alibaba Model Studio docs,help.aliyun.com/zh/model-studio,"Qwen3.7/Qwen3.6 recommended models, context, output, tools",5 - authoritative for DashScope/Qwen API attributes,Qwen cloud rows
Provider specs,Meta Llama 4 launch,ai.meta.com/blog/llama-4-multimodal-intelligence,"Llama 4 Scout/Maverick official parameters, experts, context, multimodal status",5 - authoritative for Meta release facts,Llama 4 rows
Provider specs,Amazon Bedrock model cards,docs.aws.amazon.com/bedrock/latest/userguide/model-cards.html,Bedrock supported model families and IDs across providers,4 - authoritative for Bedrock surface availability,Surface coverage and Bedrock model rows
Provider specs,Microsoft AI models,microsoft.ai/models and model cards,"MAI Thinking, Code, Image, Transcribe, Voice model family facts",5 - authoritative for Microsoft MAI attributes,MAI rows; preview/private status checked before routing
Provider specs,MiniMax M3 official launch,minimax.io/blog/minimax-m3,"MiniMax M3 1M context, multimodal, agentic/coding release facts",5 - authoritative for MiniMax M3 attributes,MiniMax rows
Benchmark,SWE-bench leaderboards,swebench.com,Software-engineering task benchmark signals,"4 - benchmark owner, but run configs matter",Coding/agentic SWE routing scores
Benchmark,Artificial Analysis,artificialanalysis.ai,"Composite intelligence, price, speed, image arena and model summaries","3 - independent tracker, not provider law",Relative 0-10 routing estimates
Benchmark,Epoch AI FrontierMath,epoch.ai/benchmarks/frontiermath,Advanced math/reasoning benchmark context,4 - benchmark owner for FrontierMath,Reasoning/math score confidence
Benchmark,LMArena / Arena AI,lmarena.ai,Human preference arena for chat and image models,3 - useful but prompt/user-mix dependent,Creative/chat/image quality tie-breaks
Benchmark,MTEB,huggingface.co/spaces/mteb/leaderboard,Embedding retrieval/classification quality benchmark,4 - benchmark ecosystem source,Embedding quality and retrieval stats
Runtime/local,archive/AI_PROVIDER_MODEL_ROSTER_2026-06-06_SUPERSEDED_by_2026-06-07.md,local repo artifact,"On-Dell access, installed surfaces, auth/billing state from runtime scan",5 for local access on scan date; can drift,Surface auth/billing and local model reachability
