Model ID,Model Name,Provider,Status,Routing Surface,Surface Type,Auth on Dell,Billing Class,Runs Local,Prompt Adherence,Text Rendering,Photorealism,Style Range,Speed,Cost-Efficiency,OVERALL ★,Max Res,License,Confidence,Sources,Last Verified
gpt-image-1.5,GPT Image 1.5,OpenAI,Legacy (prior),OpenAI API,HTTP API,No standalone key,metered (not configured),No,9.0,9.0,8.6,8.6,6.5,5.5,7.9,High res,,H,Image Arena Elo 1244 (#2-3); arena 270,2026-06-07
gpt-image-1,GPT Image 1,OpenAI,Legacy,OpenAI API,HTTP API,No standalone key,metered (not configured),No,8.4,8.4,8.0,8.2,6.8,6.0,7.6,High res,,M,Prior OAI image; family-inherited estimate (scaled from flagship); verify before HIGH-stakes routing,2026-06-07
imagen-4.0,Google Imagen 4.0,Google,Legacy (prior),Together AI,Aggregator,Not-keyed,metered (not configured),No,8.6,8.0,8.8,8.2,7.5,7.0,8.0,2K,,M,Imagen 4 (arena mid-high),2026-06-07
imagen-4.0,Google Imagen 4.0,Google,Legacy (prior),Google Gemini API,HTTP API,Working (re-authed),subscription_included,No,8.6,8.0,8.8,8.2,7.5,7.0,8.0,2K,,M,Imagen 4 (arena mid-high),2026-06-07
black-forest-labs/FLUX.1-dev,FLUX 2 Dev,Black Forest Labs,Current,Together AI,Aggregator,Not-keyed,metered (not configured),No,8.4,7.6,8.6,8.4,6.5,9.0,8.1,2K,open-weight,M,FLUX 2 Dev Elo 1150 (open),2026-06-07
black-forest-labs/FLUX.1-dev,FLUX 2 Dev,Black Forest Labs,Current,Fireworks AI,Aggregator,Not-keyed,metered (not configured),No,8.4,7.6,8.6,8.4,6.5,9.0,8.1,2K,open-weight,M,FLUX 2 Dev Elo 1150 (open),2026-06-07
black-forest-labs/FLUX.1-schnell,FLUX 2 Schnell,Black Forest Labs,Current,Together AI,Aggregator,Not-keyed,metered (not configured),No,7.8,7.0,8.0,8.0,9.0,9.5,8.2,1K,open-weight,M,Fast open FLUX,2026-06-07
black-forest-labs/FLUX.1-schnell,FLUX 2 Schnell,Black Forest Labs,Current,Fireworks AI,Aggregator,Not-keyed,metered (not configured),No,7.8,7.0,8.0,8.0,9.0,9.5,8.2,1K,open-weight,M,Fast open FLUX,2026-06-07
stabilityai/stable-diffusion-3-5-large,Stable Diffusion 3.5 Large,Stability AI,Current,Together AI,Aggregator,Not-keyed,metered (not configured),No,7.6,6.8,8.0,8.6,7.0,8.5,7.8,1K,open-weight,L,SD3.5L (open),2026-06-07
stabilityai/stable-diffusion-3-5-large,Stable Diffusion 3.5 Large,Stability AI,Current,Amazon Bedrock (Kiro),Aggregator,Installed; login unverified,metered (not configured),No,7.6,6.8,8.0,8.6,7.0,8.5,7.8,1K,open-weight,L,SD3.5L (open),2026-06-07
ideogram-ai/ideogram-v2,Ideogram V2,Ideogram,Current,Together AI,Aggregator,Not-keyed,metered (not configured),No,8.2,9.2,7.8,8.0,7.0,7.5,7.9,1K,,L,Best-in-class text rendering,2026-06-07
grok-imagine-image,Grok Imagine,xAI,Current,xAI API,HTTP API,Not-keyed,metered (not configured),No,7.8,7.2,8.0,7.8,7.5,6.0,7.4,1K,,L,xAI image gen,2026-06-07
mai-image-2.5,MAI-Image-2.5,Microsoft,Current (new 2026-06-02),Azure AI Foundry,Aggregator,Not credentialed,metered (not configured),No,9.0,8.8,8.8,8.6,7.0,7.0,8.2,High res,,M,Surpasses Nano Banana Pro arena (Microsoft); family-inherited estimate (scaled from flagship); verify before HIGH-stakes routing,2026-06-07
mai-image-2.5,MAI-Image-2.5,Microsoft,Current (new 2026-06-02),GitHub Copilot CLI,CLI,Working (premium req),subscription_included,No,9.0,8.8,8.8,8.6,7.0,7.0,8.2,High res,,M,Surpasses Nano Banana Pro arena (Microsoft); family-inherited estimate (scaled from flagship); verify before HIGH-stakes routing,2026-06-07
mai-image-2.5-flash,MAI-Image-2.5 Flash,Microsoft,Current (new 2026-06-02),Azure AI Foundry,Aggregator,Not credentialed,metered (not configured),No,8.6,8.4,8.4,8.4,9.2,9.0,8.7,High res,ultra-efficient,M,Fast MAI image variant; family-inherited estimate (scaled from flagship); verify before HIGH-stakes routing,2026-06-07
mai-image-2.5-flash,MAI-Image-2.5 Flash,Microsoft,Current (new 2026-06-02),GitHub Copilot CLI,CLI,Working (premium req),subscription_included,No,8.6,8.4,8.4,8.4,9.2,9.0,8.7,High res,ultra-efficient,M,Fast MAI image variant; family-inherited estimate (scaled from flagship); verify before HIGH-stakes routing,2026-06-07
gpt-image-2,GPT Image 2 (ChatGPT Images 2.0),OpenAI,Current (new 2026),OpenAI API,HTTP API,No standalone key,metered (not configured),No,9.4,9.4,8.8,8.8,6.5,5.5,8.1,High res,,H,Image Arena #1 debut (surpassed Nano Banana 2 / FLUX.2); provider-doc + arena,2026-06-07
gemini-3-pro-image,Nano Banana Pro (Gemini 3 Pro Image),Google,Current (GA 2026-05-28),Google Gemini API,HTTP API,Working (re-authed),subscription_included,No,9.0,9.4,8.8,8.8,6.5,6.5,8.2,High res,typography-focused,H,GA 2026-05-28 (blog.google); high-quality complex typography,2026-06-07
gemini-3-pro-image,Nano Banana Pro (Gemini 3 Pro Image),Google,Current (GA 2026-05-28),Together AI,Aggregator,Not-keyed,metered (not configured),No,9.0,9.4,8.8,8.8,6.5,6.5,8.2,High res,typography-focused,H,GA 2026-05-28 (blog.google); high-quality complex typography,2026-06-07
gemini-3.1-flash-image,Nano Banana 2 (Gemini 3.1 Flash Image),Google,Current (GA 2026-05-28),Google Gemini API,HTTP API,Working (re-authed),subscription_included,No,9.2,8.8,8.6,8.4,9.0,8.5,8.8,High res,fast/throughput,H,GA 2026-05-28; Arena Elo ~1266 (top); video-to-image context,2026-06-07
gemini-3.1-flash-image,Nano Banana 2 (Gemini 3.1 Flash Image),Google,Current (GA 2026-05-28),Together AI,Aggregator,Not-keyed,metered (not configured),No,9.2,8.8,8.6,8.4,9.0,8.5,8.8,High res,fast/throughput,H,GA 2026-05-28; Arena Elo ~1266 (top); video-to-image context,2026-06-07
