Model ID,Model Name,Provider,Status,Routing Surface,Surface Type,Auth on Dell,Billing Class,Runs Local,Embed Quality (MTEB),Multilingual,Retrieval,Speed,Cost-Efficiency,OVERALL ★,Dimensions,Max Input,Confidence,Sources,Last Verified
text-embedding-3-large,Text Embedding 3 Large,OpenAI,Current,OpenAI API,HTTP API,No standalone key,metered (not configured),No,7.8,7.4,7.8,8.0,7.0,7.6,3072 dims,8191 tok,M,MTEB ~64.6; OpenAI docs,2026-06-07
text-embedding-3-large,Text Embedding 3 Large,OpenAI,Current,Azure AI Foundry,Aggregator,Not credentialed,metered (not configured),No,7.8,7.4,7.8,8.0,7.0,7.6,3072 dims,8191 tok,M,MTEB ~64.6; OpenAI docs,2026-06-07
text-embedding-3-small,Text Embedding 3 Small,OpenAI,Current,OpenAI API,HTTP API,No standalone key,metered (not configured),No,7.0,6.8,7.0,9.0,9.0,7.8,1536 dims,8191 tok,M,Cheaper OAI embed; MTEB ~62,2026-06-07
embed-multilingual-v3.0,Cohere Embed v3 Multilingual,Cohere,Current,Cohere API,HTTP API,Not-keyed,metered (not configured),No,7.6,8.6,7.8,8.0,7.5,7.9,1024 dims,512 tok,M,100+ langs; MTEB-strong,2026-06-07
embed-multilingual-v3.0,Cohere Embed v3 Multilingual,Cohere,Current,Amazon Bedrock (Kiro),Aggregator,Installed; login unverified,metered (not configured),No,7.6,8.6,7.8,8.0,7.5,7.9,1024 dims,512 tok,M,100+ langs; MTEB-strong,2026-06-07
gemini-embedding-2,Gemini Embedding 2,Google,Current,Google Gemini API,HTTP API,Working (re-authed),subscription_included,No,9.0,8.8,9.0,7.8,7.2,8.4,3072 dims (MRL 1536/768 supported),8192 tok + multimodal,H,Google Developers Blog: GA via Gemini API; text/image/video/audio/PDF unified embedding space,2026-06-07
qwen3-embedding:4b,Qwen3 Embedding 4B (local),Alibaba,Current,Ollama (local),Local,Running (free),local_free,Yes,8.2,8.0,8.2,7.0,9.6,8.2,2560 dims,32K tok,M,Qwen3-Embedding (8B MTEB ~70); local on Dell,2026-06-07
qwen3-embedding:0.6b,Qwen3 Embedding 0.6B (local),Alibaba,Current,Ollama (local),Local,Running (free),local_free,Yes,7.2,7.0,7.2,8.5,9.8,7.9,1024 dims,32K tok,L,Tiny local embed,2026-06-07
nomic-embed-text,Nomic Embed Text (local),Nomic,Current,Ollama (local),Local,Running (free),local_free,Yes,6.8,6.2,6.8,8.5,9.6,7.6,768 dims,8192 tok,M,Open local embed; MTEB ~62,2026-06-07
codestral-embed-25-05,Codestral Embed,Mistral,Current,Mistral API,HTTP API,Not-keyed,metered (not configured),No,7.2,6.5,7.6,8.0,7.5,7.4,1536 dims,8K tok,L,Code-specialized embeddings,2026-06-07
