Model ID,Model Name,Provider,Family/Gen,Version,Status,Archetype,Routing Surface,Surface Type,Auth on Dell,Billing Class,Runs Local on Dell,Reasoning,Math,Research/Synthesis,Knowledge/Recency,Research & Reasoning ★,Code Gen,Agentic SWE,Polyglot/Refactor,Debug/Comprehension,Coding & Engineering ★,Tool Calling,Autonomy/Long-horizon,Computer/Browser Use,Instruction Adherence,Agentic & Tool Calling ★,Creative Writing,Prose/Editing,Summarization,Multilingual,Creative & Language ★,Data Analysis,Forecasting,Structured Extraction,Quant Reasoning,Predictive & Analytical ★,Vision,Doc/Chart/OCR,Audio,Multimodal ★,Speed (tok/s),Latency,Context Capacity,Cost-Efficiency,Performance & Economy ★,Factuality,Consistency,Safety/Refusal,Robustness,Reliability & Safety ★,POWER LEVEL,Context Window,Max Output,$/MTok In,$/MTok Out,consequence_max,rating_instruction,rating_quality,Recommended Roles,Avoid For,Confidence,Sources,Last Verified
claude-opus-4-8,Claude Opus 4.8,Anthropic,Claude 4.x Opus,4.8,Current,Flagship Reasoner,Anthropic API,HTTP API,Working (Claude plan),subscription_included,No,9.3,9.0,9.4,8.8,9.1,9.2,8.9,9.0,9.1,9.1,9.3,9.4,8.6,9.1,9.1,9.1,9.3,9.1,8.6,9.0,8.6,7.6,8.9,8.8,8.5,8.6,8.6,,8.6,5.6,5.6,10,4.6,6.4,8.7,8.8,9.2,8.6,8.8,8.7,1M,64000,5.0,25.0,critical,5,5,"Hardest reasoning, cross-file refactor, long-form analysis, RFP/proposal authoring",High-volume cheap classification; ultra-low-latency chat,H,"AA Index 61 (#1); SWE-bench Verified 88.6%; benchmark-anchored (AA Index, SWE-bench, GPQA, ARC-AGI-2, Aider, MMMU 2026-06)",2026-06-07
claude-opus-4-8,Claude Opus 4.8,Anthropic,Claude 4.x Opus,4.8,Current,Flagship Reasoner,Claude Code CLI,CLI,Working,subscription_included,No,9.3,9.0,9.4,8.8,9.1,9.2,8.9,9.0,9.1,9.1,9.3,9.4,8.6,9.1,9.1,9.1,9.3,9.1,8.6,9.0,8.6,7.6,8.9,8.8,8.5,8.6,8.6,,8.6,5.6,5.6,10,4.6,6.4,8.7,8.8,9.2,8.6,8.8,8.7,1M,64000,5.0,25.0,critical,5,5,"Hardest reasoning, cross-file refactor, long-form analysis, RFP/proposal authoring",High-volume cheap classification; ultra-low-latency chat,H,"AA Index 61 (#1); SWE-bench Verified 88.6%; benchmark-anchored (AA Index, SWE-bench, GPQA, ARC-AGI-2, Aider, MMMU 2026-06)",2026-06-07
claude-opus-4-8,Claude Opus 4.8,Anthropic,Claude 4.x Opus,4.8,Current,Flagship Reasoner,Claude Desktop/Cowork,Desktop app,Working (this session),subscription_included,No,9.3,9.0,9.4,8.8,9.1,9.2,8.9,9.0,9.1,9.1,9.3,9.4,8.6,9.1,9.1,9.1,9.3,9.1,8.6,9.0,8.6,7.6,8.9,8.8,8.5,8.6,8.6,,8.6,5.6,5.6,10,4.6,6.4,8.7,8.8,9.2,8.6,8.8,8.7,1M,64000,5.0,25.0,critical,5,5,"Hardest reasoning, cross-file refactor, long-form analysis, RFP/proposal authoring",High-volume cheap classification; ultra-low-latency chat,H,"AA Index 61 (#1); SWE-bench Verified 88.6%; benchmark-anchored (AA Index, SWE-bench, GPQA, ARC-AGI-2, Aider, MMMU 2026-06)",2026-06-07
claude-opus-4-8,Claude Opus 4.8,Anthropic,Claude 4.x Opus,4.8,Current,Flagship Reasoner,Amazon Bedrock (Kiro),Aggregator,Installed; login unverified,metered (not configured),No,9.3,9.0,9.4,8.8,9.1,9.2,8.9,9.0,9.1,9.1,9.3,9.4,8.6,9.1,9.1,9.1,9.3,9.1,8.6,9.0,8.6,7.6,8.9,8.8,8.5,8.6,8.6,,8.6,5.6,5.6,10,4.6,6.4,8.7,8.8,9.2,8.6,8.8,8.7,1M,64000,5.0,25.0,critical,5,5,"Hardest reasoning, cross-file refactor, long-form analysis, RFP/proposal authoring",High-volume cheap classification; ultra-low-latency chat,H,"AA Index 61 (#1); SWE-bench Verified 88.6%; benchmark-anchored (AA Index, SWE-bench, GPQA, ARC-AGI-2, Aider, MMMU 2026-06)",2026-06-07
claude-opus-4-7,Claude Opus 4.7,Anthropic,Claude 4.x Opus,4.7,Legacy (prior flagship),Flagship Reasoner,Anthropic API,HTTP API,Working (Claude plan),subscription_included,No,9.1,8.8,9.2,8.7,8.9,9.0,8.8,8.9,9.0,8.9,9.1,9.2,8.5,9.0,8.9,9.0,9.2,9.0,8.5,8.9,8.5,7.5,8.8,8.7,8.4,8.5,8.5,,8.5,5.6,5.6,10,4.6,6.4,8.6,8.7,9.1,8.5,8.7,8.5,1M,64000,5.0,25.0,critical,5,5,Same as 4.8 where 4.8 unavailable; SWE-bench Pro leader 64.3%,,H,"AA Index 57; SWE-bench Verified 87.6%, Pro 64.3%; benchmark-anchored (AA Index, SWE-bench, GPQA, ARC-AGI-2, Aider, MMMU 2026-06)",2026-06-07
claude-opus-4-7,Claude Opus 4.7,Anthropic,Claude 4.x Opus,4.7,Legacy (prior flagship),Flagship Reasoner,Claude Code CLI,CLI,Working,subscription_included,No,9.1,8.8,9.2,8.7,8.9,9.0,8.8,8.9,9.0,8.9,9.1,9.2,8.5,9.0,8.9,9.0,9.2,9.0,8.5,8.9,8.5,7.5,8.8,8.7,8.4,8.5,8.5,,8.5,5.6,5.6,10,4.6,6.4,8.6,8.7,9.1,8.5,8.7,8.5,1M,64000,5.0,25.0,critical,5,5,Same as 4.8 where 4.8 unavailable; SWE-bench Pro leader 64.3%,,H,"AA Index 57; SWE-bench Verified 87.6%, Pro 64.3%; benchmark-anchored (AA Index, SWE-bench, GPQA, ARC-AGI-2, Aider, MMMU 2026-06)",2026-06-07
claude-opus-4-7,Claude Opus 4.7,Anthropic,Claude 4.x Opus,4.7,Legacy (prior flagship),Flagship Reasoner,Amazon Bedrock (Kiro),Aggregator,Installed; login unverified,metered (not configured),No,9.1,8.8,9.2,8.7,8.9,9.0,8.8,8.9,9.0,8.9,9.1,9.2,8.5,9.0,8.9,9.0,9.2,9.0,8.5,8.9,8.5,7.5,8.8,8.7,8.4,8.5,8.5,,8.5,5.6,5.6,10,4.6,6.4,8.6,8.7,9.1,8.5,8.7,8.5,1M,64000,5.0,25.0,critical,5,5,Same as 4.8 where 4.8 unavailable; SWE-bench Pro leader 64.3%,,H,"AA Index 57; SWE-bench Verified 87.6%, Pro 64.3%; benchmark-anchored (AA Index, SWE-bench, GPQA, ARC-AGI-2, Aider, MMMU 2026-06)",2026-06-07
claude-opus-4-6,Claude Opus 4.6,Anthropic,Claude 4.x Opus,4.6,Legacy,Flagship Reasoner,Anthropic API,HTTP API,Working (Claude plan),subscription_included,No,9.0,8.6,9.0,8.6,8.8,8.7,8.4,8.2,8.7,8.5,8.9,9.0,8.4,8.9,8.8,8.9,9.1,8.9,8.4,8.8,8.3,7.3,8.6,8.5,8.2,8.4,8.4,,8.4,5.8,5.8,10,4.6,6.6,8.5,8.6,9.1,8.4,8.7,8.4,1M,128000,5.0,25.0,critical,5,4,"Adaptive-thinking reasoning, agentic IDE work (Antigravity default)",,H,"HLE 34.4%; Aider Polyglot 82.1%; benchmark-anchored (AA Index, SWE-bench, GPQA, ARC-AGI-2, Aider, MMMU 2026-06)",2026-06-07
claude-opus-4-6,Claude Opus 4.6,Anthropic,Claude 4.x Opus,4.6,Legacy,Flagship Reasoner,Claude Code CLI,CLI,Working,subscription_included,No,9.0,8.6,9.0,8.6,8.8,8.7,8.4,8.2,8.7,8.5,8.9,9.0,8.4,8.9,8.8,8.9,9.1,8.9,8.4,8.8,8.3,7.3,8.6,8.5,8.2,8.4,8.4,,8.4,5.8,5.8,10,4.6,6.6,8.5,8.6,9.1,8.4,8.7,8.4,1M,128000,5.0,25.0,critical,5,4,"Adaptive-thinking reasoning, agentic IDE work (Antigravity default)",,H,"HLE 34.4%; Aider Polyglot 82.1%; benchmark-anchored (AA Index, SWE-bench, GPQA, ARC-AGI-2, Aider, MMMU 2026-06)",2026-06-07
claude-opus-4-6,Claude Opus 4.6,Anthropic,Claude 4.x Opus,4.6,Legacy,Flagship Reasoner,Google Antigravity,IDE app,Installed,subscription_included,No,9.0,8.6,9.0,8.6,8.8,8.7,8.4,8.2,8.7,8.5,8.9,9.0,8.4,8.9,8.8,8.9,9.1,8.9,8.4,8.8,8.3,7.3,8.6,8.5,8.2,8.4,8.4,,8.4,5.8,5.8,10,4.6,6.6,8.5,8.6,9.1,8.4,8.7,8.4,1M,128000,5.0,25.0,critical,5,4,"Adaptive-thinking reasoning, agentic IDE work (Antigravity default)",,H,"HLE 34.4%; Aider Polyglot 82.1%; benchmark-anchored (AA Index, SWE-bench, GPQA, ARC-AGI-2, Aider, MMMU 2026-06)",2026-06-07
