Model ID,Model Name,Provider,Status,Routing Surface,Surface Type,Auth on Dell,Billing Class,Runs Local,Accuracy (WER inv),Naturalness (TTS),Latency,Languages,Speed,Cost-Efficiency,OVERALL ★,Subtype,Notes,Confidence,Sources,Last Verified
gpt-realtime-1.5,GPT Realtime 1.5,OpenAI,Legacy (prior),OpenAI API,HTTP API,No standalone key,metered (not configured),No,8.8,9.0,9.2,8.5,9.0,5.5,8.3,STT+TTS realtime,audio in/out,M,Best realtime voice,2026-06-07
whisper-1,Whisper,OpenAI,Current,OpenAI API,HTTP API,No standalone key,metered (not configured),No,8.6,0.0,7.0,9.0,8.0,8.5,6.9,STT,99 langs,H,"General-purpose ASR, widely benchmarked",2026-06-07
gpt-4o-transcribe,GPT-4o Transcribe,OpenAI,Current,OpenAI API,HTTP API,No standalone key,metered (not configured),No,8.8,0.0,7.5,9.0,8.0,7.0,6.7,STT,multi,M,GPT-4o-powered ASR,2026-06-07
gpt-4o-mini-tts,GPT-4o Mini TTS,OpenAI,Current,OpenAI API,HTTP API,No standalone key,metered (not configured),No,0.0,8.6,8.5,8.0,9.0,8.0,7.0,TTS,multi,M,Steerable TTS,2026-06-07
voxtral-small-25-07,Voxtral Small,Mistral,Current,Mistral API,HTTP API,Not-keyed,metered (not configured),No,8.0,7.5,7.5,8.0,8.0,8.0,7.8,STT+audio,multi,L,Mistral audio model,2026-06-07
amazon.nova-2-sonic,Amazon Nova 2 Sonic,Amazon,Current,Amazon Bedrock (Kiro),Aggregator,Installed; login unverified,metered (not configured),No,8.2,8.4,8.6,7.5,8.5,7.5,8.1,realtime,conversational,L,Bedrock conversational audio,2026-06-07
mai-transcribe-1.5,MAI-Transcribe-1.5,Microsoft,Current (new 2026-06-02),Azure AI Foundry,Aggregator,Not credentialed,metered (not configured),No,9.2,0.0,8.0,8.5,8.5,8.0,7.0,STT,SOTA accuracy claim,M,Microsoft best-in-class transcription; family-inherited estimate (scaled from flagship); verify before HIGH-stakes routing,2026-06-07
mai-transcribe-1.5,MAI-Transcribe-1.5,Microsoft,Current (new 2026-06-02),GitHub Copilot CLI,CLI,Working (premium req),subscription_included,No,9.2,0.0,8.0,8.5,8.5,8.0,7.0,STT,SOTA accuracy claim,M,Microsoft best-in-class transcription; family-inherited estimate (scaled from flagship); verify before HIGH-stakes routing,2026-06-07
mai-voice-2,MAI-Voice-2,Microsoft,Current (new 2026-06-02),Azure AI Foundry,Aggregator,Not credentialed,metered (not configured),No,0.0,8.8,8.5,8.0,8.5,8.0,7.0,TTS,"15 langs, voice cloning",M,"Natural TTS, voice adaptation from short sample; family-inherited estimate (scaled from flagship); verify before HIGH-stakes routing",2026-06-07
mai-voice-2,MAI-Voice-2,Microsoft,Current (new 2026-06-02),GitHub Copilot CLI,CLI,Working (premium req),subscription_included,No,0.0,8.8,8.5,8.0,8.5,8.0,7.0,TTS,"15 langs, voice cloning",M,"Natural TTS, voice adaptation from short sample; family-inherited estimate (scaled from flagship); verify before HIGH-stakes routing",2026-06-07
gpt-realtime-2,GPT Realtime 2 (reason+translate+transcribe),OpenAI,Current (2026),OpenAI API,HTTP API,No standalone key,metered (not configured),No,9.0,9.0,9.2,9.0,9.0,5.5,8.5,realtime,reason/translate/transcribe,M,New OpenAI realtime voice family (provider-doc June 2026),2026-06-07
gemini-3.1-flash-live,Gemini 3.1 Flash Live,Google,Current (2026),Google Gemini API,HTTP API,Working (re-authed),subscription_included,No,8.6,8.8,9.0,8.5,9.0,7.5,8.6,realtime,audio-to-audio dialogue,M,Real-time voice-first model (provider-doc),2026-06-07
lyria-3,Lyria 3 (music gen),Google,Current (2026),Google Gemini API,HTTP API,Working (re-authed),subscription_included,No,0.0,8.6,7.0,0.0,7.0,7.0,4.9,Music gen,clip + full-song,M,lyria-3-clip-preview / lyria-3-pro-preview (provider-doc),2026-06-07
